"FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","DISTANCE",
2015-01-01,"AA",19805,"AA","1",12478,1247802,31703,"JFK",12892,1289203,32575,"LAX","0900","0855",-5.00,17.00,"0912","1230",7.00,"1230","1237",7.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","2",12892,1289203,32575,"LAX",12478,1247802,31703,"JFK","0900","0856",-4.00,16.00,"0912","1643",8.00,"1735","1651",-44.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","3",12478,1247802,31703,"JFK",12892,1289203,32575,"LAX","1230","1226",-4.00,19.00,"1245","1543",5.00,"1550","1548",-2.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","4",12892,1289203,32575,"LAX",12478,1247802,31703,"JFK","1220","1214",-6.00,23.00,"1237","2021",12.00,"2050","2033",-17.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","5",11298,1129803,30194,"DFW",12173,1217302,32134,"HNL","1305","1754",289.00,21.00,"1815","2234",6.00,"1740","2240",300.00,0.00,"",0.00,3784.00,
2015-01-01,"AA",19805,"AA","6",13830,1383002,33830,"OGG",11298,1129803,30194,"DFW","1805","",,,"","",,"0510","",,1.00,"A",0.00,3711.00,
2015-01-01,"AA",19805,"AA","7",11298,1129803,30194,"DFW",13830,1383002,33830,"OGG","1215","1513",178.00,24.00,"1537","1947",3.00,"1635","1950",195.00,0.00,"",0.00,3711.00,
2015-01-01,"AA",19805,"AA","8",12173,1217302,32134,"HNL",11298,1129803,30194,"DFW","1745","1933",108.00,15.00,"1948","0648",11.00,"0510","0659",109.00,0.00,"",0.00,3784.00,
2015-01-01,"AA",19805,"AA","9",12478,1247802,31703,"JFK",12892,1289203,32575,"LAX","0700","0649",-11.00,22.00,"0711","1019",7.00,"1020","1026",6.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","10",12892,1289203,32575,"LAX",12478,1247802,31703,"JFK","2150","2150",0.00,14.00,"2204","0539",5.00,"0559","0544",-15.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","12",12892,1289203,32575,"LAX",12478,1247802,31703,"JFK","1115","1114",-1.00,19.00,"1133","1920",15.00,"1950","1935",-15.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","14",13830,1383002,33830,"OGG",12892,1289203,32575,"LAX","2300","2254",-6.00,12.00,"2306","0533",10.00,"0605","0543",-22.00,0.00,"",0.00,2486.00,
2015-01-01,"AA",19805,"AA","15",12478,1247802,31703,"JFK",14771,1477101,32457,"SFO","0800","0755",-5.00,57.00,"0852","1220",8.00,"1140","1228",48.00,0.00,"",0.00,2586.00,
2015-01-01,"AA",19805,"AA","16",14771,1477101,32457,"SFO",12478,1247802,31703,"JFK","1245","1316",31.00,18.00,"1334","2139",10.00,"2115","2149",34.00,0.00,"",0.00,2586.00,
2015-01-01,"AA",19805,"AA","17",10397,1039705,30397,"ATL",13303,1330303,32467,"MIA","0700","0656",-4.00,15.00,"0711","0833",9.00,"0852","0842",-10.00,0.00,"",0.00,594.00,
2015-01-01,"AA",19805,"AA","19",12478,1247802,31703,"JFK",12892,1289203,32575,"LAX","1100","1055",-5.00,17.00,"1112","1406",7.00,"1420","1413",-7.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","20",14771,1477101,32457,"SFO",12478,1247802,31703,"JFK","1500","1503",3.00,19.00,"1522","2323",8.00,"2325","2331",6.00,0.00,"",0.00,2586.00,
2015-01-01,"AA",19805,"AA","21",12478,1247802,31703,"JFK",12892,1289203,32575,"LAX","1845","1851",6.00,29.00,"1920","2228",10.00,"2210","2238",28.00,0.00,"",0.00,2475.00,
2015-01-01,"AA",19805,"AA","22",12892,1289203,32575,"LAX",12478,1247802,31703,"JFK","1515","1512",-3.00,23.00,"1535","2312",17.00,"2335","2329",-6.00,0.00,"",0.00,2475.00,
